answer,question,funFact
15 letters,How many letters make up the longest word in the English language without any repeating letters?,"Another 15-letter word sharing this record is ""Dermatoglyphics,"" which refers to the study of fingerprints skin ridges."
74 minutes,"What is the total running time of Ludwig van Beethoven’s famous Ninth Symphony, in minutes?",This specific duration was used by Sony engineers in the 1980s to define the digital storage size of the standard compact disc.
135 chapters,How many individual chapters make up the epic classic novel *Moby-Dick* by Herman Melville?,"Despite its legendary status today, the book was a commercial failure during Melville’s lifetime, selling fewer than 3,000 copies before his death."
1793,In what year did the Louvre Museum in Paris first open its doors to the public as an art gallery?,"Opened during the French Revolution, the gallery originally showcased a collection of 537 paintings confiscated from the royal family and church."
12,How many distinct characters are built into the standard alphabet of the Hawaiian language?,"The alphabet consists of just five vowels (A, E, I, O, U) and seven consonants (H, K, L, M, N, P, W), making it one of the shortest in the world."
17 feet [5 m],"What is the height of Michelangelo’s famous marble statue of David, measured in feet?",Michelangelo carved the towering masterpiece out of a single block of white Carrara marble that had been discarded and left exposed to the elements by other sculptors for over 40 years.
50 words,How many total words did author Dr. Seuss use to write the entire book *Green Eggs and Ham*?,"He wrote the book on a bet with his publisher, Bennett Cerf, who bet him $50 that he couldn't write an entire story using 50 or fewer unique words."
1818,In what year was the famous science fiction novel *Frankenstein* by Mary Shelley first published?,She wrote the iconic horror story when she was just 18 years old during a rainy summer trip to Switzerland with friends.
24,How many distinct letters form the Greek alphabet?,"The alphabet starts with Alpha and ends with Omega, a configuration that has remained unchanged for thousands of years."
120 feet [37 m],"What is the total length of the canvas scroll used by Jack Kerouac to type his novel *On the Road*, in feet?",He taped sheets of architectural tracing paper together into a single continuous roll so he could type at a frantic pace without stopping to load individual sheets into his typewriter.
4,How many individual panel squares make up the comic grid layout of a standard daily *Peanuts* comic strip?,"Charles Schulz drew, wrote, and lettered every single *Peanuts* strip himself for nearly 50 straight years without a single assistant."
1889,"In what year did Vincent van Gogh paint his famous masterpiece, *The Starry Night*?","He painted the swirling night sky from memory while looking out the window of his room at an asylum in Saint-Rémy-de-Provence, France."
60 thousand words,"How many thousands of words make up the massive dictionary definition text of the word ""Set,"" the English word with the highest number of definitions?","In the Oxford English Dictionary, the word ""set"" requires over 60,000 words of text to list its more than 430 distinct meanings."
230 feet [70 m],"What is the length of the famous Bayeux Tapestry embroidery masterpiece, in feet?","Embroidered in the 11th century, the long cloth tells the visual story of the Norman Conquest of England across 58 distinct scenes."
1,How many total paintings did artist Vincent van Gogh manage to sell to buyers during his lifetime?,"The only painting he officially sold was *The Red Vineyard*, purchased by an artist friend for 400 francs just months before his death."
1937,"In what year did J.R.R. Tolkien publish his epic high-fantasy novel, *The Hobbit*?","Tolkien originally wrote the story simply to amuse his own children, but a student convinced him to submit the manuscript to a publisher."
41,How many stringed keys are laid across the mechanical keyboard layout of a standard concert accordion?,"The right hand operates these piano-style keys, while the left hand operates a grid of up to 120 button keys to trigger bass chords."
"481,103 words",What is the total word count of the entire *The Lord of the Rings* novel trilogy combination?,"Tolkien spent over 12 years writing the massive epic, which he originally intended to publish as a single massive volume."
